run,dataset,bus,model,variant,system_label,model_name,accuracy,balanced_accuracy,precision,recall,f1,mcc,fpr,fnr,auroc,auprc,latency_ms_per_sample,n,threshold
qgrid57_cnn1d_zplusa,qgrid,57,cnn1d,z_plus_abs_a,QGrid-Synth 57-bus,1D-CNN+|a|,0.9997604790419161,0.9997604790419161,1.0,0.9995209580838323,0.9997604216578821,0.9995210727694653,0.0,0.00047904191616766467,1.0,1.0,0.007717294791367597,33400,
qgrid57_mlp_full,qgrid,57,mlp,full,QGrid-Synth 57-bus,MLP,0.862934131736527,0.8629341317365269,0.9346672403901319,0.7804191616766467,0.8506069703694035,0.7359593273951291,0.05455089820359282,0.2195808383233533,0.9175488185306034,0.9406762840943222,0.005112279911977267,33400,
qgrid57_mlp_zplusa,qgrid,57,mlp,z_plus_abs_a,QGrid-Synth 57-bus,MLP+|a|,0.9994910179640718,0.9994910179640719,1.0,0.9989820359281437,0.9994907587694335,0.9989825535265388,0.0,0.0010179640718562875,0.9999642869948726,0.9999772729599526,0.005902037453910191,33400,
qgrid57_gcn_full,qgrid,57,gcn,full,QGrid-Synth 57-bus,GCN,0.6798502994011976,0.6798502994011976,0.986712040187976,0.3646107784431138,0.5324646932796991,0.46340851842563446,0.004910179640718563,0.6353892215568863,0.7774184391695651,0.8302912622538643,0.0055673408662219965,33400,
qgrid57_wgcn_full,qgrid,57,wgcn,full,QGrid-Synth 57-bus,W-GCN,0.7862275449101797,0.7862275449101797,0.9639875752281111,0.5946706586826347,0.7355751425820309,0.6197405753549253,0.02221556886227545,0.40532934131736525,0.8679671752303775,0.9008166465487815,0.005681405386268468,33400,
qgrid57_gat_full,qgrid,57,gat,full,QGrid-Synth 57-bus,GAT,0.8069760479041916,0.8069760479041916,0.9848671143478672,0.6235329341317365,0.7636123638763612,0.6599749045336172,0.009580838323353293,0.37646706586826345,0.8713724120621034,0.9084426829763248,0.006801898327717435,33400,
qgrid118_cnn1d_full,qgrid,118,cnn1d,full,QGrid-Synth 118-bus,1D-CNN,0.8344011976047904,0.8344011976047905,0.8844750430292599,0.7692814371257485,0.8228662930344275,0.6745478156214045,0.10047904191616766,0.2307185628742515,0.8966883663810105,0.9229186746169503,0.006728051648570035,33400,
qgrid118_cnn1d_zplusa,qgrid,118,cnn1d,z_plus_abs_a,QGrid-Synth 118-bus,1D-CNN+|a|,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.009225074579649254,33400,
qgrid118_mlp_full,qgrid,118,mlp,full,QGrid-Synth 118-bus,MLP,0.8385329341317366,0.8385329341317365,0.9492966701104665,0.7152694610778443,0.8158317112317727,0.6986283783824101,0.03820359281437126,0.28473053892215566,0.8602167198537057,0.9056003319373651,0.005710463947198259,33400,
qgrid118_mlp_zplusa,qgrid,118,mlp,z_plus_abs_a,QGrid-Synth 118-bus,MLP+|a|,0.9873353293413174,0.9873353293413174,0.9996930066924541,0.9749700598802395,0.9871767666050262,0.9749688495404013,0.0002994011976047904,0.02502994011976048,0.998572688156621,0.9989251724128603,0.005766785840230609,33400,
